City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,dryden,49.7833,-92.7503,5.16,87,100,2.06,CA,1697304737
223,bamboo flat,11.7,92.7167,25.05,100,40,0.0,IN,1697304738
224,crescent city,41.756,-124.2018,15.82,99,100,3.09,US,1697304738
225,winnipeg,49.8844,-97.147,10.57,63,100,1.34,CA,1697304601
226,sumbawa besar,-8.5,117.4333,23.35,77,45,1.82,ID,1697304739
227,minas de marcona,-15.2119,-75.1103,21.43,52,66,5.25,PE,1697304544
228,agat village,13.3886,144.6585,24.52,94,100,0.0,GU,1697304739
229,susurluk,39.9136,28.1578,16.88,62,69,0.77,TR,1697304739
230,hasaki,35.7333,140.8333,17.94,86,100,7.33,JP,1697304740
231,kerikeri,-35.2268,173.9474,16.06,93,87,0.45,NZ,1697304583
232,grand-bassam,5.2118,-3.7388,27.98,86,75,3.27,CI,1697304740
233,nogliki,51.8333,143.1667,7.97,77,80,5.36,RU,1697304740
234,sisimiut,66.9395,-53.6735,-0.57,78,94,6.13,GL,1697304741
235,nantucket,41.2835,-70.0995,16.08,65,0,3.6,US,1697304611
236,holualoa,19.6228,-155.9522,21.91,79,40,3.13,US,1697304562
237,klaksvik,62.2266,-6.589,2.51,69,100,14.42,FO,1697304741
238,tomball,30.0972,-95.6161,20.96,47,0,4.63,US,1697304600
239,tadine,-21.55,167.8833,21.2,92,80,4.44,NC,1697304741
240,barra de santo antonio,-9.4047,-35.5072,27.6,69,88,5.24,BR,1697304615
241,san antonio de pale,-1.4014,5.6325,25.74,84,95,6.33,GQ,1697304742
242,saint-yrieix-la-perche,45.516,1.2057,13.31,81,59,1.36,FR,1697304742
243,charters towers,-20.1,146.2667,17.68,91,52,3.52,AU,1697304742
244,tinghir,31.5157,-5.5343,20.33,37,98,2.66,MA,1697304743
245,vicuna,-30.0319,-70.7081,29.87,22,0,4.32,CL,1697304685
246,nar'yan-mar,67.6713,53.087,-2.16,93,65,1.79,RU,1697304743
247,wasserburg am inn,48.0605,12.2313,14.8,90,95,4.13,DE,1697304743
248,tacuarembo,-31.7333,-55.9833,20.43,49,11,5.47,UY,1697304744
249,yashkino,55.8736,85.4265,6.06,63,100,5.27,RU,1697304744
250,meulaboh,4.1363,96.1285,24.33,90,99,1.01,ID,1697304744
251,kalamata,37.0389,22.1142,22.28,57,40,2.68,GR,1697304744
252,mili,6.0815,171.735,28.62,71,99,3.92,MH,1697304745
253,hammerfest,70.6634,23.6821,-1.75,86,20,2.57,NO,1697304745
254,tosontsengel,48.7567,98.2839,4.9,58,26,1.02,MN,1697304745
255,mejit,10.2753,170.8646,27.6,76,95,4.27,MH,1697304745
256,acucena,-19.0731,-42.5464,27.29,53,91,3.84,BR,1697304746
257,ventspils,57.3894,21.5606,11.96,71,40,11.83,LV,1697304746
258,cascais,38.6979,-9.4215,23.92,74,20,5.14,PT,1697304746
259,piacabucu,-10.4056,-36.4344,27.63,67,79,6.11,BR,1697304746
260,nadi,-17.8,177.4167,24.0,83,40,2.06,FJ,1697304747
261,asahikawa,43.7678,142.3703,10.38,74,100,1.24,JP,1697304747
262,haiku-pauwela,20.9219,-156.3051,25.58,83,20,2.06,US,1697304747
263,cidreira,-30.1811,-50.2056,18.16,74,9,7.3,BR,1697304747
264,somerset,40.5668,-74.5496,11.58,88,100,1.54,US,1697304747
265,phan rang-thap cham,11.5667,108.9833,25.12,91,92,1.34,VN,1697304553
266,arawa,-6.2132,155.5367,24.57,92,48,0.82,PG,1697304748
267,west odessa,31.8424,-102.4988,13.01,41,0,4.63,US,1697304748
268,jatiroto,-7.8833,111.1167,24.12,80,83,0.31,ID,1697304749
269,saint-philippe,-21.3585,55.7679,23.77,81,67,5.03,RE,1697304749
270,arvika,59.6553,12.5852,9.34,66,41,5.53,SE,1697304749
271,bodo,67.28,14.405,6.02,61,0,2.06,NO,1697304732
272,sabha,27.0377,14.4283,26.03,22,3,3.47,LY,1697304749
273,mooloolaba,-26.6833,153.1167,18.92,91,3,0.45,AU,1697304750
274,rudnya,54.947,31.0934,16.85,68,59,8.12,RU,1697304750
275,nsunga,-1.1439,31.3947,20.94,67,46,1.27,TZ,1697304750
276,kirakira,-10.4544,161.9205,26.08,87,13,2.37,SB,1697304659
277,shakawe,-18.3667,21.85,28.92,30,74,1.24,BW,1697304751
278,igrim,63.1906,64.4162,6.12,85,95,3.58,RU,1697304751
279,aykhal,66.0,111.5,-11.07,92,17,0.89,RU,1697304751
280,blackwater,-23.5833,148.8833,17.05,100,0,3.02,AU,1697304751
281,sake,-1.5736,29.045,23.34,88,85,0.42,CD,1697304633
282,mata-utu,-13.2816,-176.1745,27.44,78,52,9.06,WF,1697304752
283,muncar,-8.4333,114.3333,23.52,94,40,0.36,ID,1697304752
284,buala,-8.145,159.5921,26.41,87,57,3.16,SB,1697304752
285,waynesboro,38.0685,-78.8895,17.97,91,100,1.54,US,1697304753
286,takoradi,4.8845,-1.7554,25.9,88,66,4.67,GH,1697304753
287,kodiak,57.79,-152.4072,0.73,93,75,3.09,US,1697304577
288,arvayheer,46.2639,102.775,3.08,60,46,2.36,MN,1697304753
289,sao felix do xingu,-6.6447,-51.995,36.78,24,39,0.39,BR,1697304753
290,isla vista,34.4133,-119.861,26.86,61,100,1.54,US,1697304754
291,tura,25.5198,90.2201,20.78,86,0,1.29,IN,1697304555
292,chadron,42.8294,-102.9999,6.03,73,0,0.0,US,1697304754
293,kristiansund,63.1115,7.732,8.03,87,75,5.66,NO,1697304755
294,trairi,-3.2778,-39.2689,30.01,58,45,7.25,BR,1697304755
295,sitka,57.0531,-135.33,12.94,76,100,9.26,US,1697304755
296,cockburn town,21.4612,-71.1419,28.85,72,85,1.93,TC,1697304755
297,bereznik,62.8551,42.7072,6.06,91,100,5.86,RU,1697304755
298,lock haven,41.137,-77.4469,9.43,99,100,2.68,US,1697304663
299,louhans,46.6667,5.1667,14.01,92,83,1.17,FR,1697304756
300,yartsevo,55.0667,32.6964,15.93,73,35,6.91,RU,1697304756
301,fortuna,40.5982,-124.1573,17.74,90,0,3.09,US,1697304756
302,masterton,-40.9597,175.6575,11.6,73,25,5.86,NZ,1697304757
